Country
"Algeria"
"Angola"
"Benin"
"Botswana"
"Burkina Faso"
"Burundi"
"Cameroon"
"Cape Verde"
"Central African Republic"
"Chad"
"Congo, the Democratic Republic of the"
"Congo"
"Côte d'Ivoire"
"Egypt"
"Equatorial Guinea"
"Eritrea"
"Ethiopia"
"Gabon"
"Ghana"
"Guinea-Bissau"
"Kenya"
"Lesotho"
"Liberia"
"Libya"
"Madagascar"
"Malawi"
"Mali"
"Mauritania"
"Mauritius"
"Morocco"
"Mozambique"
"Niger"
"Nigeria"
"Djibouti"
"Guinea"
"Namibia"
"South Sudan"
"Sudan"
"Tunisia"
"Rwanda"
"Sao Tome and Principe"
"Senegal"
"Seychelles"
"Sierra Leone"
"Somalia"
"South Africa"
"Swaziland"
"Tanzania, United Republic of"
"Gambia"
"Togo"
"Uganda"
"Union of Comoros"
"Western Sahara"
"Zambia"
"Zimbabwe"
